ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2019,"2019",0,"Total",78500,8887,"Census Tract 1, Orleans Parish, LA","14000US22071000100"
2019,"2019",0,"Total",27125,8724,"Census Tract 2, Orleans Parish, LA","14000US22071000200"
2019,"2019",0,"Total",35031,7884,"Census Tract 3, Orleans Parish, LA","14000US22071000300"
2019,"2019",0,"Total",39271,14750,"Census Tract 4, Orleans Parish, LA","14000US22071000400"
2019,"2019",0,"Total",11973,2753,"Census Tract 6.01, Orleans Parish, LA","14000US22071000601"
2019,"2019",0,"Total",22073,11698,"Census Tract 6.02, Orleans Parish, LA","14000US22071000602"
2019,"2019",0,"Total",14226,6897,"Census Tract 6.03, Orleans Parish, LA","14000US22071000603"
2019,"2019",0,"Total",22023,3310,"Census Tract 6.04, Orleans Parish, LA","14000US22071000604"
2019,"2019",0,"Total",37904,4857,"Census Tract 6.05, Orleans Parish, LA","14000US22071000605"
2019,"2019",0,"Total",68317,6074,"Census Tract 6.06, Orleans Parish, LA","14000US22071000606"
2019,"2019",0,"Total",64718,22582,"Census Tract 6.07, Orleans Parish, LA","14000US22071000607"
2019,"2019",0,"Total",37847,5696,"Census Tract 6.11, Orleans Parish, LA","14000US22071000611"
2019,"2019",0,"Total",170278,21283,"Census Tract 6.12, Orleans Parish, LA","14000US22071000612"
2019,"2019",0,"Total",21538,2734,"Census Tract 6.13, Orleans Parish, LA","14000US22071000613"
2019,"2019",0,"Total",37639,5849,"Census Tract 6.15, Orleans Parish, LA","14000US22071000615"
2019,"2019",0,"Total",47339,13830.000000000002,"Census Tract 6.16, Orleans Parish, LA","14000US22071000616"
2019,"2019",0,"Total",45810,19277,"Census Tract 6.17, Orleans Parish, LA","14000US22071000617"
2019,"2019",0,"Total",115625,18352,"Census Tract 6.18, Orleans Parish, LA","14000US22071000618"
2019,"2019",0,"Total",25793,3518,"Census Tract 7.01, Orleans Parish, LA","14000US22071000701"
2019,"2019",0,"Total",22385,8334,"Census Tract 7.02, Orleans Parish, LA","14000US22071000702"
2019,"2019",0,"Total",35743,6851,"Census Tract 8, Orleans Parish, LA","14000US22071000800"
2019,"2019",0,"Total",24911,5615,"Census Tract 9.01, Orleans Parish, LA","14000US22071000901"
2019,"2019",0,"Total",14271,5757,"Census Tract 9.02, Orleans Parish, LA","14000US22071000902"
2019,"2019",0,"Total",18879,5493,"Census Tract 9.03, Orleans Parish, LA","14000US22071000903"
2019,"2019",0,"Total",19309,3980,"Census Tract 9.04, Orleans Parish, LA","14000US22071000904"
2019,"2019",0,"Total",40037,6653,"Census Tract 11, Orleans Parish, LA","14000US22071001100"
2019,"2019",0,"Total",57500,10135,"Census Tract 12, Orleans Parish, LA","14000US22071001200"
2019,"2019",0,"Total",32022,6132,"Census Tract 13.01, Orleans Parish, LA","14000US22071001301"
2019,"2019",0,"Total",24038,6718,"Census Tract 13.02, Orleans Parish, LA","14000US22071001302"
2019,"2019",0,"Total",20156,4262,"Census Tract 14.01, Orleans Parish, LA","14000US22071001401"
2019,"2019",0,"Total",25052,3990,"Census Tract 14.02, Orleans Parish, LA","14000US22071001402"
2019,"2019",0,"Total",34886,9266,"Census Tract 17.01, Orleans Parish, LA","14000US22071001701"
2019,"2019",0,"Total",35018,10985,"Census Tract 17.02, Orleans Parish, LA","14000US22071001702"
2019,"2019",0,"Total",24425,3838,"Census Tract 17.20, Orleans Parish, LA","14000US22071001720"
