Shelter,Address,Lat,Lng
Alexandria Mega Shelter,"8125 Hwy 71 South,
Alexandria, LA 71302",31.1692959,-92.4138421
Paragon Casino,"711 Paragon Place Marksville, LA",31.1063503,-92.0606768
Tourist Welcome Center,"836 I-20 West Tallulah, LA",32.3253556,-90.9897972
Sammy’s Truck Stop,"I-49, Exit 53 3601 LA 115 W Bunkie, LA",30.9495764,-92.2727913
Med Express Office,"7525 US 71 Alexandria, LA",31.2125725,-92.424384
P.E. Gym LSU-Shreveport,"One University Place Shreveport, LA",32.4289406,-93.7026035
Pickering High School,"180 Lebleu Rd. Leesville, LA",31.0387117,-93.270013
Mowad Civic Center,"213 S 10th St, Oakdale, LA 71463",30.813273,-92.6623912
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
